 Team ,R32,R16,R8,R4,R2,R1
 Kentucky ,1,1,1,1,0.69,0.77
 Wisconsin ,1,1,1,1,0.31,0.61
 Duke ,1,1,1,1,0.67,0.33
 Michigan St. ,1,1,1,1,0.33,0.21
 Albany ,0,0,0,0,0,0
 Arizona ,1,1,1,0,0,0
 Arkansas ,1,0,0,0,0,0
 Baylor ,0,0,0,0,0,0
 Belmont ,0,0,0,0,0,0
 Buffalo ,0,0,0,0,0,0
 Butler ,1,0,0,0,0,0
 Cincinnati ,1,0,0,0,0,0
 Coastal Car. ,0,0,0,0,0,0
 Davidson ,0,0,0,0,0,0
 Dayton ,1,0,0,0,0,0
 Eastern Wash. ,0,0,0,0,0,0
 Georgetown ,1,0,0,0,0,0
 Georgia ,0,0,0,0,0,0
 Georgia St. ,1,0,0,0,0,0
 Gonzaga ,1,1,1,0,0,0
 Hampton ,0,0,0,0,0,0
 Harvard ,0,0,0,0,0,0
 Indiana ,0,0,0,0,0,0
 Iowa ,1,0,0,0,0,0
 Iowa St. ,0,0,0,0,0,0
 Kansas ,1,0,0,0,0,0
 Lafayette ,0,0,0,0,0,0
 Louisville ,0,0,0,0,0,0
 LSU ,1,1,1,0,0,0
 Maryland ,1,0,0,0,0,0
 Mississippi ,0,0,0,0,0,0
 N. Carolina ,1,0,0,0,0,0
 N. Dak. St. ,0,0,0,0,0,0
 N. Mex. St. ,1,1,0,0,0,0
 N.C. State ,1,1,0,0,0,0
 Northeastern ,0,0,0,0,0,0
 Northern Iowa ,0,0,0,0,0,0
 Notre Dame ,1,1,1,0,0,0
 Ohio St. ,1,0,0,0,0,0
 Oklahoma ,1,1,0,0,0,0
 Oklahoma St. ,0,0,0,0,0,0
 Oregon ,1,0,0,0,0,0
 Providence ,0,0,0,0,0,0
 Purdue ,0,0,0,0,0,0
 Robert Morris ,0,0,0,0,0,0
 S. Diego St. ,1,0,0,0,0,0
 S.F. Austin ,0,0,0,0,0,0
 SMU ,0,0,0,0,0,0
 St. John's ,0,0,0,0,0,0
 Texas ,0,0,0,0,0,0
 Texas Southern ,0,0,0,0,0,0
 UAB ,1,0,0,0,0,0
 UC Irvine ,0,0,0,0,0,0
 UCLA ,1,1,0,0,0,0
 Utah ,1,1,0,0,0,0
 Valparaiso ,0,0,0,0,0,0
 VCU ,1,0,0,0,0,0
 Villanova ,1,0,0,0,0,0
 Virginia ,0,0,0,0,0,0
 West Virginia ,1,1,0,0,0,0
 Wichita St. ,1,1,0,0,0,0
 Wofford ,0,0,0,0,0,0
 Wyoming ,0,0,0,0,0,0
 Xavier ,1,1,0,0,0,0
