Team,R32,R16,R8,R4,R2,R1
Kentucky,1,1,1,0.870,0.747,0.815
Duke,1,1,1,0.590,0.661,0.333
Arizona,1,1,1,0.600,0.283,0.588
Wisconsin,1,1,1,0.400,0.325,0.692
Michigan St.,1,1,1,0.580,0.414,0.208
Gonzaga,1,1,1,0.410,0.537,0.227
Louisville,1,1,1,0.420,0.357,0.200
Notre Dame,1,1,1,0.130,0.385,0.400
Oklahoma,1,1,0,0,0,0
North Carolina,1,1,0,0,0,0
Utah,1,1,0,0,0,0
West Virginia,1,1,0,0,0,0
Xavier,1,1,0,0,0,0
Wichita State,1,1,0,0,0,0
North Carolina State,1,1,0,0,0,0
UCLA,1,1,0,0,0,0
Villanova,1,0,0,0,0,0
Virginia,1,0,0,0,0,0
Kansas,1,0,0,0,0,0
Georgetown,1,0,0,0,0,0
Maryland,1,0,0,0,0,0
Arkansas,1,0,0,0,0,0
N. Iowa,1,0,0,0,0,0
Butler,1,0,0,0,0,0
Iowa,1,0,0,0,0,0
San Diego State,1,0,0,0,0,0
Cincinnati,1,0,0,0,0,0
Oregon,1,0,0,0,0,0
Ohio State,1,0,0,0,0,0
Dayton,1,0,0,0,0,0
UAB,1,0,0,0,0,0
Georgia State,1,0,0,0,0,0
Iowa State,0,0,0,0,0,0
Baylor,0,0,0,0,0,0
Providence,0,0,0,0,0,0
SMU,0,0,0,0,0,0
Virginia Commonwealth,0,0,0,0,0,0
Louisiana State,0,0,0,0,0,0
Oklahoma State,0,0,0,0,0,0
Purdue,0,0,0,0,0,0
St. John's,0,0,0,0,0,0
Georgia,0,0,0,0,0,0
Indiana,0,0,0,0,0,0
Davidson,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0
Texas,0,0,0,0,0,0
Buffalo,0,0,0,0,0,0
Stephen F. Austin,0,0,0,0,0,0
Wofford,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0
Harvard,0,0,0,0,0,0
UC Irvine,0,0,0,0,0,0
Eastern Washington,0,0,0,0,0,0
Valparaiso,0,0,0,0,0,0
Northeastern,0,0,0,0,0,0
Albany,0,0,0,0,0,0
New Mexico State,0,0,0,0,0,0
Belmont,0,0,0,0,0,0
North Dakota State,0,0,0,0,0,0
Texas Southern,0,0,0,0,0,0
Lafayette,0,0,0,0,0,0
Coastal Carolina,0,0,0,0,0,0
Hampton,0,0,0,0,0,0
RMU,0,0,0,0,0,0
